date,precipitacion_recuay_mm,precipitacion_cotaparaco_mm,precipitacion_pira_mm,precipitacion_cajamarquilla_mm,precipitacion_aija_mm,precipitacion_malvas_mm,precipitacion_buena_vista_mm,precipitacion_areal_huarmey_mm
2001-01-01,119.5,69.9,130.0,89.3,107.2,93.8,5.7,81.5
2001-02-01,133.1,92.9,143.8,109.2,123.4,133.7,9.1,103.6
2001-03-01,150.1,134.4,188.4,134.4,137.8,146.9,14.3,125.7
2001-04-01,58.1,45.6,61.5,55.0,59.5,57.6,2.5,49.0
2001-05-01,16.0,8.7,20.1,13.6,15.2,14.8,0.3,11.7
2001-06-01,4.9,1.7,4.7,2.6,2.4,3.8,0.0,2.3
2001-07-01,3.3,0.9,2.9,1.4,1.6,1.9,0.0,1.3
2001-08-01,8.8,2.7,7.2,4.3,3.5,6.0,0.0,3.6
2001-09-01,23.7,11.5,24.1,18.8,18.1,21.9,0.3,15.6
2001-10-01,65.5,36.7,63.2,50.3,48.1,47.9,0.8,40.9
2001-11-01,87.0,47.4,82.3,55.5,60.0,77.8,1.3,53.6
2001-12-01,97.9,67.9,103.7,73.8,78.8,85.7,2.3,68.8
2002-01-01,102.0,64.2,108.9,76.4,81.0,72.9,4.7,66.6
2002-02-01,117.8,92.6,100.5,114.4,103.3,122.3,7.7,97.1
2002-03-01,138.1,91.9,137.6,131.0,118.4,129.5,12.8,106.0
2002-04-01,57.5,41.2,63.9,55.6,49.3,53.2,2.1,44.6
2002-05-01,16.9,9.4,18.2,10.0,13.3,12.2,0.2,10.1
2002-06-01,4.0,1.5,4.0,2.2,2.5,3.3,0.0,2.1
2002-07-01,3.0,0.8,2.7,1.1,1.5,1.9,0.0,1.2
2002-08-01,7.8,2.2,6.6,3.5,4.0,4.4,0.0,3.1
2002-09-01,24.1,10.3,21.7,12.5,15.6,16.6,0.3,12.3
2002-10-01,59.6,30.2,72.8,44.0,42.7,38.3,0.9,34.8
2002-11-01,60.4,33.7,80.1,59.7,59.9,61.0,1.1,47.7
2002-12-01,88.4,58.2,91.0,66.5,69.7,70.9,1.9,59.6
2003-01-01,78.3,59.5,89.0,65.8,76.6,90.6,4.4,65.7
2003-02-01,94.1,74.1,132.1,84.8,96.3,110.1,7.2,82.3
2003-03-01,124.6,84.2,129.4,109.4,98.5,123.7,11.2,93.4
2003-04-01,54.3,38.9,64.7,44.3,44.9,49.7,1.9,39.9
2003-05-01,14.6,8.1,15.3,9.8,9.8,14.4,0.2,9.3
2003-06-01,3.8,1.4,3.9,2.0,2.5,2.6,0.0,1.9
2003-07-01,2.7,0.9,2.1,1.1,1.4,1.7,0.0,1.1
2003-08-01,6.6,2.1,6.0,3.6,4.4,4.3,0.0,3.2
2003-09-01,19.9,12.5,20.7,16.0,17.5,16.7,0.3,14.1
2003-10-01,58.5,29.1,57.0,36.5,37.8,42.6,0.6,32.6
2003-11-01,64.0,34.2,70.8,41.1,51.9,58.5,0.9,41.5
2003-12-01,80.0,56.5,75.5,70.2,68.0,66.8,1.8,58.7
2004-01-01,87.4,55.8,93.1,61.8,70.7,66.8,3.8,57.7
2004-02-01,92.3,70.0,124.7,92.5,95.0,88.9,7.1,78.2
2004-03-01,125.2,88.1,148.9,101.6,105.9,107.7,10.5,91.4
2004-04-01,47.4,37.3,58.0,37.9,38.4,38.8,1.7,34.4
2004-05-01,12.3,6.2,15.5,11.4,10.2,12.4,0.2,8.9
2004-06-01,3.7,1.4,3.3,1.9,2.2,2.4,0.0,1.8
2004-07-01,2.6,0.6,2.2,0.9,1.3,1.5,0.0,1.0
2004-08-01,6.4,2.0,6.0,3.4,3.6,4.2,0.0,2.9
2004-09-01,16.9,9.3,19.4,12.9,14.3,16.8,0.2,11.9
2004-10-01,49.7,27.8,45.0,32.7,37.6,37.5,0.7,30.5
2004-11-01,66.2,37.0,63.1,48.5,47.3,49.3,0.9,40.7
2004-12-01,70.1,46.1,78.2,57.9,60.8,67.7,1.9,52.0
2005-01-01,100.6,54.6,79.4,80.1,69.5,82.7,3.9,64.0
2005-02-01,95.1,86.7,134.6,90.7,80.3,104.1,8.4,81.6
2005-03-01,112.5,98.7,140.2,115.2,117.6,113.8,12.7,101.1
2005-04-01,53.0,39.4,55.7,43.6,44.6,50.1,2.1,40.0
2005-05-01,13.4,7.3,18.7,10.5,10.8,14.1,0.2,9.5
2005-06-01,4.8,1.6,3.6,2.4,2.3,3.0,0.0,2.1
2005-07-01,3.3,0.9,2.4,1.1,1.5,1.6,0.0,1.1
2005-08-01,6.9,2.1,6.4,3.1,3.5,5.1,0.0,3.0
2005-09-01,19.0,11.2,25.0,15.4,17.2,16.9,0.2,13.6
2005-10-01,59.9,30.1,58.6,43.7,44.4,48.1,0.8,37.1
2005-11-01,62.5,40.5,72.1,49.5,58.6,58.9,1.1,46.6
2005-12-01,87.1,51.6,80.5,58.6,57.3,85.2,1.7,56.2
